Fri Dec 13 02:48:29 +0000 2019,tattooed heart for @joangrande https://t.co/FZZbpIuJzo,tattooed heart for @joangrande 
Fri Dec 13 02:46:35 +0000 2019,probably my closet. still miss it tho. https://t.co/pktYqF3mgG,probably my closet. still miss it tho. 
Fri Dec 13 02:43:47 +0000 2019,"@grandesmagirl for instagram :) just sharing some cute moments w u
whatever you’re expecting is going to be different from what you’re thinking 🤍 and nowhere near anytime soon 
but just be patient / love me forever","@grandesmagirl for instagram :) just sharing some cute moments w u
whatever you’re expecting is going to be different from what you’re thinking 🤍 and nowhere near anytime soon 
but just be patient / love me forever"
Fri Dec 13 02:00:12 +0000 2019,miss that hat https://t.co/BRABPLhEkM,miss that hat 
Thu Dec 12 22:50:22 +0000 2019,ate me up as always https://t.co/wRLfISZ5hp,ate me up as always 
Thu Dec 12 22:48:55 +0000 2019,thank you https://t.co/OVU2YmP9zj,thank you 
Thu Dec 12 22:39:07 +0000 2019,happy holidays @ultabeauty #thankunext 🤍 https://t.co/cY4wGTlXsz https://t.co/m2fsuKIuvH,happy holidays @ultabeauty #thankunext 🤍  
Thu Dec 12 17:30:33 +0000 2019,@ghostinleigh https://t.co/NGBGdYFTYL,@ghostinleigh 
Thu Dec 12 03:26:46 +0000 2019,@borderlinevinyl i have to master this album for y’all i-,@borderlinevinyl i have to master this album for y’all i-
Wed Dec 11 18:58:57 +0000 2019,@needybitch_2 😌🧊🤍,@needybitch_2 🧊🤍
Wed Dec 11 18:57:57 +0000 2019,@tbychaneI 😯👀🤍,@tbychaneI 🤍
Wed Dec 11 18:56:22 +0000 2019,@bocabreathin @arianashijabi 🥺🤗,@bocabreathin @arianashijabi 🥺🤗
Wed Dec 11 18:55:21 +0000 2019,best https://t.co/HwDtiDaEto,best 
Wed Dec 11 18:54:43 +0000 2019,@arianashijabi omg i wish i coulda used some coachella stuff but we don’t have the files. 😭,@arianashijabi omg i wish i coulda used some coachella stuff but we don’t have the files. 
Wed Dec 11 18:49:17 +0000 2019,fuck imma miss u sm https://t.co/vyNL6LdMvj,fuck imma miss u sm 
Wed Dec 11 18:44:49 +0000 2019,🤍🤍🤍 @billboard https://t.co/DMPMu9n9rA,🤍🤍🤍 @billboard 
Wed Dec 11 18:39:29 +0000 2019,lmaooooo https://t.co/HRrZa9ffL3,lmaooooo 
Wed Dec 11 18:31:42 +0000 2019,you’ve kinda seen it 🤍👁🌑 https://t.co/xkQ6X8OYKW,you’ve kinda seen it 🤍 
Wed Dec 11 18:29:54 +0000 2019,i want it (and the title) to be a lil surprise ... keep me on here long enough tho https://t.co/tjFXMizMht,i want it (and the title) to be a lil surprise ... keep me on here long enough tho 
Wed Dec 11 18:16:59 +0000 2019,🤍 https://t.co/JsaJLO3RQB,🤍 
Wed Dec 11 18:16:19 +0000 2019,"@bocasfave those screams are from my mic lol so it was kind of impossible to separate and turn it down 
i’m super close to y’all and it picked up a lot but i think it’s really sweet and special 
🤍 
it’s for us 
besides ... it’s not like the studio versions aren’t an option anymore !","@bocasfave those screams are from my mic lol so it was kind of impossible to separate and turn it down 
i’m super close to y’all and it picked up a lot but i think it’s really sweet and special 
🤍 
it’s for us 
besides ... it’s not like the studio versions aren’t an option anymore !"
Wed Dec 11 18:13:45 +0000 2019,swt live 🌑 available to pre save now https://t.co/dtrrF0tSzn https://t.co/CbvKafDNsa,swt live  available to pre save now  
Wed Dec 11 18:12:22 +0000 2019,damn https://t.co/JobXORGzio,damn 
Wed Dec 11 05:36:23 +0000 2019,🤍 https://t.co/kjhQdOD17D,🤍 
Wed Dec 11 04:45:13 +0000 2019,🌑 https://t.co/jQ8AsbM54g, 
Wed Dec 11 04:28:00 +0000 2019,sssssssss https://t.co/nPI1afZJfQ,sssssssss 
Wed Dec 11 03:42:12 +0000 2019,https://t.co/YQZLVUOuws,
Wed Dec 11 00:55:00 +0000 2019,@needymorgs BRANDON HOLD MY HAAAAND,@needymorgs BRANDON HOLD MY HAAAAND
Wed Dec 11 00:52:39 +0000 2019,@arixsolana @arianashijabi 😇😌,@arixsolana @arianashijabi 
Wed Dec 11 00:50:33 +0000 2019,@arixsolana @arianashijabi ok ok good jus making sure bc i love it always,@arixsolana @arianashijabi ok ok good jus making sure bc i love it always
Wed Dec 11 00:49:37 +0000 2019,@arianashijabi u do know i’m playing and i love this song always right 🤗 but it was y’all idea goodbye,@arianashijabi u do know i’m playing and i love this song always right 🤗 but it was y’all idea goodbye
Tue Dec 10 23:44:37 +0000 2019,"nah but ... i’ll let it slide this once. have the best day / night, my babes. love uuuuu. https://t.co/4Q1Bqwah3S","nah but ... i’ll let it slide this once. have the best day / night, my babes. love uuuuu. "
Tue Dec 10 23:42:56 +0000 2019,love u https://t.co/6uFqEP1DFc,love u 
Tue Dec 10 23:42:33 +0000 2019,@dankunext ariana loves jade,@dankunext ariana loves jade
Tue Dec 10 23:41:42 +0000 2019,sleep https://t.co/7xN2IRnZrM,sleep 
Tue Dec 10 23:41:17 +0000 2019,bye pay attention love u https://t.co/thu7BGrwMD,bye pay attention love u 
Tue Dec 10 23:40:35 +0000 2019,we’re: on it https://t.co/7M55ZNCag6,we’re: on it 
Tue Dec 10 23:40:04 +0000 2019,listen https://t.co/lEgR2adcGl,listen 
Tue Dec 10 23:39:31 +0000 2019,see https://t.co/4CHEXoL6P3,see 
Tue Dec 10 23:38:32 +0000 2019,love u more https://t.co/lCYyyFgMT5,love u more 
Tue Dec 10 23:38:17 +0000 2019,y’all are too much ... but also perfect .... love u way too much https://t.co/iYZfCnJFIH,y’all are too much ... but also perfect .... love u way too much 
Tue Dec 10 23:36:22 +0000 2019,🤍😩 https://t.co/0ejC8JeWKa,🤍 
Tue Dec 10 23:35:06 +0000 2019,alright it’s time to pack up https://t.co/WGGkHuKyjt,alright it’s time to pack up 
Tue Dec 10 23:34:18 +0000 2019,do y’all see this shit 😭 https://t.co/pRLKylQc2N,do y’all see this shit  
Tue Dec 10 23:33:16 +0000 2019,listen https://t.co/gAsQmqMtW7,listen 
Tue Dec 10 23:31:06 +0000 2019,i am aware 🤍 will y’all please just let me sing gws and hma and go to sleep https://t.co/qNfhrPiNB0,i am aware 🤍 will y’all please just let me sing gws and hma and go to sleep 
Tue Dec 10 23:29:52 +0000 2019,get your ass home @VictoriaMonet 🤍 https://t.co/nUczR7Lcws,get your ass home @VictoriaMonet 🤍 
Tue Dec 10 23:29:03 +0000 2019,@arianafenty HAHAHAHAHAHAHAHAHAHAHAHAHAHAH,@arianafenty HAHAHAHAHAHAHAHAHAHAHAHAHAHAH
Tue Dec 10 23:28:55 +0000 2019,!!!!!!!! https://t.co/6RSj1H7WTc,!!!!!!!! 
Tue Dec 10 23:26:03 +0000 2019,@arianacuIture https://t.co/3zTngfcO3c,@arianacuIture 
Tue Dec 10 23:24:11 +0000 2019,@pignolisass OH ABSOLUTELY NOT THIS WAS IN RESPONSE TO MY TIMELINE,@pignolisass OH ABSOLUTELY NOT THIS WAS IN RESPONSE TO MY TIMELINE
Tue Dec 10 23:23:35 +0000 2019,digitally yes 🤍 https://t.co/Rr8geOz6TX,digitally yes 🤍 
Tue Dec 10 23:22:23 +0000 2019,@agblinsky @REMVlSUALS @ariliciouslucy @remliams @caIImeangeI @arianacuIture this was after i logged on and saw a stampede of y’all begging for it and i wanted to deliver. SO happy we could clear this up 🌑🌑🌑🌑,@agblinsky @REMVlSUALS @ariliciouslucy @remliams @caIImeangeI @arianacuIture this was after i logged on and saw a stampede of y’all begging for it and i wanted to deliver. SO happy we could clear this up 
Tue Dec 10 23:21:07 +0000 2019,@REMVlSUALS @ariliciouslucy @remliams @caIImeangeI @arianacuIture bitch cause the moon was lookin nice,@REMVlSUALS @ariliciouslucy @remliams @caIImeangeI @arianacuIture bitch cause the moon was lookin nice
Tue Dec 10 23:20:53 +0000 2019,my fav always https://t.co/R7zYhVTCMz,my fav always 
Tue Dec 10 23:20:03 +0000 2019,@ariliciouslucy @remliams @caIImeangeI @arianacuIture wait i’m sorry is me tweeting “🌑” suggesting that i’m singing moonlight cause ..................,@ariliciouslucy @remliams @caIImeangeI @arianacuIture wait i’m sorry is me tweeting “” suggesting that i’m singing moonlight cause ..................
Tue Dec 10 23:19:25 +0000 2019,@ariliciouslucy @remliams @caIImeangeI @arianacuIture show me where,@ariliciouslucy @remliams @caIImeangeI @arianacuIture show me where
Tue Dec 10 23:18:24 +0000 2019,mhmm https://t.co/F3lA0V2abo,mhmm 
Tue Dec 10 23:18:04 +0000 2019,@remliams @caIImeangeI @arianacuIture am i living in an alternate dimension  ........ the way you all YELLED AND BEGGED AND CRIED i,@remliams @caIImeangeI @arianacuIture am i living in an alternate dimension  ........ the way you all YELLED AND BEGGED AND CRIED i
Tue Dec 10 23:16:06 +0000 2019,@caIImeangeI @arianacuIture you’re fucking joking yeah 😭,@caIImeangeI @arianacuIture you’re fucking joking yeah 
Tue Dec 10 23:15:41 +0000 2019,! https://t.co/c4hjdhlv1a,! 
Tue Dec 10 23:12:59 +0000 2019,nothing from this most recent leg unfortunately bc of timing but https://t.co/LjkcgYiiWO,nothing from this most recent leg unfortunately bc of timing but 
Tue Dec 10 23:11:55 +0000 2019,mhmm https://t.co/unA189393k,mhmm 
Tue Dec 10 23:10:29 +0000 2019,alright https://t.co/x4jgRXi7pg,alright 
Tue Dec 10 23:03:12 +0000 2019,it’s not that i just love the shit too much and want u to hear it the second it happens lmao https://t.co/TRvLUAxe2U,it’s not that i just love the shit too much and want u to hear it the second it happens lmao 
Tue Dec 10 23:01:16 +0000 2019,this part .... i have to stop doing that https://t.co/nDTKeaZ6jl,this part .... i have to stop doing that 
Tue Dec 10 23:00:48 +0000 2019,!!!! https://t.co/UcFSFrBKOv,!!!! 
Tue Dec 10 23:00:23 +0000 2019,🌑 https://t.co/LoCDTCmTkX, 
Tue Dec 10 23:00:07 +0000 2019,exposed https://t.co/I52ersf1QN,exposed 
Tue Dec 10 22:58:28 +0000 2019,i- https://t.co/NgncHpyZjG,i- 
Tue Dec 10 22:57:43 +0000 2019,u got me https://t.co/V58hbiWQef,u got me 
Tue Dec 10 22:56:40 +0000 2019,so u know what i’m TALKING ABOUT https://t.co/cKe32gHJY5,so u know what i’m TALKING ABOUT 
Tue Dec 10 22:54:56 +0000 2019,wouldn’t have it any other way ever https://t.co/xr34yB2cFR,wouldn’t have it any other way ever 
Tue Dec 10 22:54:31 +0000 2019,that’s what all my irls are sayin https://t.co/q52nVVyI7W,that’s what all my irls are sayin 
Tue Dec 10 22:53:43 +0000 2019,i’m sayin ! this “we love u please rest” will disappear in ab three weeks lmaoo https://t.co/ms2nvxWKOe,i’m sayin ! this “we love u please rest” will disappear in ab three weeks lmaoo 
Tue Dec 10 22:51:49 +0000 2019,"thank u i willllll. my team, friends and i have a bet how long til i’m in the stu. everyone says a week tops lmao. https://t.co/bHgK0vNzEL","thank u i willllll. my team, friends and i have a bet how long til i’m in the stu. everyone says a week tops lmao. "
Tue Dec 10 22:46:46 +0000 2019,remember this tweet two months into next year when y’all are like “ok so ag6” https://t.co/CPhiTjozbS,remember this tweet two months into next year when y’all are like “ok so ag6” 
Tue Dec 10 22:44:23 +0000 2019,naaaaaaah lmao. might take a minute but of course not. :) https://t.co/W8E1WMi02o,naaaaaaah lmao. might take a minute but of course not. :) 
Tue Dec 10 22:42:42 +0000 2019,issa forever thing https://t.co/voCzKmt3lQ,issa forever thing 
Tue Dec 10 20:01:14 +0000 2019,🤍 @billboard https://t.co/xZ3gEAf5wA,🤍 @billboard 
Tue Dec 10 08:52:53 +0000 2019,@TwirlyButera just got home 🤍 love u,@TwirlyButera just got home 🤍 love u
Tue Dec 10 05:46:09 +0000 2019,best person in our lives https://t.co/qvK8uYnEdx,best person in our lives 
Tue Dec 10 05:45:04 +0000 2019,@7tings im@crying,@7tings im@crying
Tue Dec 10 05:44:52 +0000 2019,“no” https://t.co/3JtKkHC1au,“no” 
Tue Dec 10 05:43:05 +0000 2019,love u. roshad says “love u. whatever. stay in school.”,love u. roshad says “love u. whatever. stay in school.”
Tue Dec 10 05:19:33 +0000 2019,goat https://t.co/u9bGKWRBGP,goat 
Tue Dec 10 05:17:51 +0000 2019,https://t.co/Fk1bYqAo7E,
Mon Dec 09 19:03:27 +0000 2019,me for the past four christmases https://t.co/yKc9obakTo,me for the past four christmases 
Mon Dec 09 19:01:25 +0000 2019,@buteraishot @getwelIstyles @grandesbreakup us,@buteraishot @getwelIstyles @grandesbreakup us
Mon Dec 09 19:00:33 +0000 2019,@gnglipa @getwelIstyles @grandesbreakup 🤍,@gnglipa @getwelIstyles @grandesbreakup 🤍
Mon Dec 09 18:59:00 +0000 2019,@getwelIstyles @grandesbreakup nah i just wanna keep count properly bc it’s rewarding and we’ve been away from our homes for a long time. i’m v proud of everyone.,@getwelIstyles @grandesbreakup nah i just wanna keep count properly bc it’s rewarding and we’ve been away from our homes for a long time. i’m v proud of everyone.
Mon Dec 09 18:56:49 +0000 2019,@grandesbreakup memphis was 92 for us 🤍,@grandesbreakup memphis was 92 for us 🤍
Mon Dec 09 18:54:09 +0000 2019,love u more https://t.co/hprdR9gy3V,love u more 
Mon Dec 09 18:53:47 +0000 2019,sheesh. thank u for helping me thru. this year would’ve been very different without u. so grateful. https://t.co/Dg9Re3RlCX,sheesh. thank u for helping me thru. this year would’ve been very different without u. so grateful. 
Mon Dec 09 18:44:10 +0000 2019,@alldatgrande the only reason i come on,@alldatgrande the only reason i come on
Mon Dec 09 18:43:26 +0000 2019,@alldatgrande lmaooo,@alldatgrande lmaooo
Mon Dec 09 18:35:02 +0000 2019,@grandesbreakup 93 !,@grandesbreakup 93 !
Mon Dec 09 06:03:05 +0000 2019,love u,love u
Mon Dec 09 06:02:24 +0000 2019,ever https://t.co/9gv8PLb6Qc,ever 
Mon Dec 09 05:58:17 +0000 2019,https://t.co/e2mZMqehOr,
Mon Dec 09 05:55:17 +0000 2019,https://t.co/UGuoLQjt7I,
Mon Dec 09 04:28:30 +0000 2019,you are so beautiful @joangrande ! https://t.co/OWPyEOXSnz,you are so beautiful @joangrande ! 
Sat Dec 07 23:28:14 +0000 2019,@reedgreenwelll @GrandeTourNews 🤍,@reedgreenwelll @GrandeTourNews 🤍
Sat Dec 07 23:26:26 +0000 2019,@arianacuIture nah i’m always as honest as i can be i just try to be as gentle as well,@arianacuIture nah i’m always as honest as i can be i just try to be as gentle as well
Sat Dec 07 23:18:59 +0000 2019,@tattoosmilee @imagineaaworld @everytimebeth oh every time forever. doesn’t mean she’s not a sweetheart tho.,@tattoosmilee @imagineaaworld @everytimebeth oh every time forever. doesn’t mean she’s not a sweetheart tho.
Sat Dec 07 23:18:36 +0000 2019,@imagineaaworld @everytimebeth actually not most people. it’s just the thing the impersonators go for cause it’s easier i guess. 😭 utterly bizarre / why. but she is a sweet girl.,@imagineaaworld @everytimebeth actually not most people. it’s just the thing the impersonators go for cause it’s easier i guess.  utterly bizarre / why. but she is a sweet girl.
Sat Dec 07 23:17:11 +0000 2019,@imagineaaworld @everytimebeth most people do. i feel like i’m living in some strange world where no one has ever heard me speak outside of that show. 😭 but it’s all good. she’s a fan and she is sweet. the cat laugh is indeed pretty good.,@imagineaaworld @everytimebeth most people do. i feel like i’m living in some strange world where no one has ever heard me speak outside of that show.  but it’s all good. she’s a fan and she is sweet. the cat laugh is indeed pretty good.
Sat Dec 07 23:14:27 +0000 2019,@everytimebeth https://t.co/7VaxaH9sxQ,@everytimebeth 
Sat Dec 07 22:14:03 +0000 2019,@byhrback they’re so funny tho 🤍😭,@byhrback they’re so funny tho 🤍
Sat Dec 07 19:13:30 +0000 2019,truly https://t.co/q2qjdhLQyQ,truly 
Sat Dec 07 18:38:43 +0000 2019,sweetest https://t.co/MQATqyMtxV,sweetest 
Sat Dec 07 18:36:37 +0000 2019,there’s a very clear ‘period’ at the end of fake smile that sent me when i heard it https://t.co/Xh0XC7rxWi,there’s a very clear ‘period’ at the end of fake smile that sent me when i heard it 
Sat Dec 07 18:34:22 +0000 2019,except my body. our bodies are ready lol. https://t.co/3kNS7EkqwQ,except my body. our bodies are ready lol. 
Sat Dec 07 18:34:00 +0000 2019,part two https://t.co/CtsP5EUHwm,part two 
Sat Dec 07 18:30:22 +0000 2019,been sitting in my car parked in the rain approving mixes for the live project all am. so many special lil moments in there ... i love hearing your tiny voices in the background. my mic picked up so many funny little things. i can’t wait for u to hear. 🥺,been sitting in my car parked in the rain approving mixes for the live project all am. so many special lil moments in there ... i love hearing your tiny voices in the background. my mic picked up so many funny little things. i can’t wait for u to hear. 🥺
Sat Dec 07 18:27:36 +0000 2019,🤍,🤍
Sat Dec 07 01:07:19 +0000 2019,@outurmouth @Twitter 😭🖤,@outurmouth @Twitter 
Fri Dec 06 17:55:17 +0000 2019,@alessiacara 🤍,@alessiacara 🤍
Fri Dec 06 17:14:34 +0000 2019,when you’re ninety something shows in and literally almost every line is an alt melody 🤍 it’s so fun to play and sing shit differently and to hear my band’s solos played so differently every night. the most surprises. fuck imma miss this. https://t.co/Bzd7chKZcI,when you’re ninety something shows in and literally almost every line is an alt melody 🤍 it’s so fun to play and sing shit differently and to hear my band’s solos played so differently every night. the most surprises. fuck imma miss this. 
Fri Dec 06 16:23:06 +0000 2019,https://t.co/Gu3ionGp7m,
Fri Dec 06 16:15:17 +0000 2019,@arianaschan @BrdgstoneArena done 🤍😭,@arianaschan @BrdgstoneArena done 🤍
Fri Dec 06 16:10:56 +0000 2019,@BrdgstoneArena @arianaschan omg i fell asleep,@BrdgstoneArena @arianaschan omg i fell asleep
Fri Dec 06 05:28:42 +0000 2019,i love u more duh https://t.co/1ccheE35sT,i love u more duh 
Fri Dec 06 05:27:24 +0000 2019,love u https://t.co/vXPrxRSoH2,love u 
Fri Dec 06 05:27:06 +0000 2019,always do https://t.co/UcX3ng1fJw,always do 
Fri Dec 06 05:26:48 +0000 2019,damn yes ma’am goodnight love u https://t.co/nTi8a2aWL6,damn yes ma’am goodnight love u 
Fri Dec 06 05:23:06 +0000 2019,me neither https://t.co/JgEniaEst2,me neither 
Fri Dec 06 05:18:11 +0000 2019,@ghonstins @grandesheal i don’t LEAVE THE STAGE,@ghonstins @grandesheal i don’t LEAVE THE STAGE
